FREQUENCY,TIME,Value
A,1955,50.97925
A,1956,50.898959999999995
A,1957,51.94263
A,1958,51.17995
A,1959,54.204190000000004
A,1960,58.026830000000004
A,1961,58.32748
A,1962,58.88585
A,1963,61.16225
A,1964,65.54326
A,1965,67.51899999999999
A,1966,68.33508
A,1967,67.86261
A,1968,71.21279
A,1969,73.59737
A,1970,73.99186999999999
A,1971,73.60613000000001
A,1972,74.89485
A,1973,81.63653000000001
A,1974,80.01467
A,1975,75.69263000000001
A,1976,78.13857
A,1977,82.1976
A,1978,84.51204
A,1979,86.34431
A,1980,80.33904
A,1981,77.07779000000001
A,1982,77.26189000000001
A,1983,79.26949
A,1984,79.77796
A,1985,83.88083
A,1986,85.7131
A,1987,89.25488
A,1988,93.86623
A,1989,95.82999000000001
A,1990,95.85629
A,1991,92.65525
A,1992,93.06631
A,1993,95.06915
A,1994,100.0981
A,1995,101.8561
A,1996,103.2467
A,1997,105.9929
A,1998,106.8442
A,1999,107.999
A,2000,109.8365
A,2001,108.1676
A,2002,106.5492
A,2003,106.1109
A,2004,107.11399999999999
A,2005,106.5829
A,2006,107.704
A,2007,108.412
A,2008,105.7063
A,2009,97.61463
A,2010,100.9187
A,2011,100.8766
A,2012,98.53338000000001
A,2013,97.47977
A,2014,99.00539
A,2015,100.0
A,2016,101.1379
A,2017,103.2114
A,2018,103.6244
A,2019,102.5539
Q,1956-Q1,49.05808
Q,1956-Q2,48.90332
Q,1956-Q3,48.74857
Q,1956-Q4,48.90332
Q,1957-Q1,49.52235
Q,1957-Q2,49.98663
Q,1957-Q3,50.60566
Q,1957-Q4,49.83187
Q,1958-Q1,50.50506
Q,1958-Q2,49.511520000000004
Q,1958-Q3,49.18034
Q,1958-Q4,49.67711
Q,1959-Q1,50.00829
Q,1959-Q2,51.6642
Q,1959-Q3,52.49215
Q,1959-Q4,54.644819999999996
Q,1960-Q1,55.80396
Q,1960-Q2,55.80396
Q,1960-Q3,55.96954
Q,1960-Q4,56.30072
Q,1961-Q1,56.13514
Q,1961-Q2,56.30072
Q,1961-Q3,56.30072
Q,1961-Q4,55.96954
Q,1962-Q1,56.13514
Q,1962-Q2,56.96309
Q,1962-Q3,57.29427
Q,1962-Q4,56.6319
Q,1963-Q1,56.6319
Q,1963-Q2,58.12222
Q,1963-Q3,59.943709999999996
Q,1963-Q4,61.268440000000005
Q,1964-Q1,62.427569999999996
Q,1964-Q2,62.75875
Q,1964-Q3,63.08993
Q,1964-Q4,64.24906
Q,1965-Q1,65.07701
Q,1965-Q2,64.74583
Q,1965-Q3,64.74583
Q,1965-Q4,65.73937
Q,1966-Q1,66.73292
Q,1966-Q2,65.90496999999999
Q,1966-Q3,66.07056
Q,1966-Q4,64.58025
Q,1967-Q1,65.07701
Q,1967-Q2,65.07701
Q,1967-Q3,65.07701
Q,1967-Q4,66.40174
Q,1968-Q1,67.6087
Q,1968-Q2,68.45017
Q,1968-Q3,69.06509
Q,1968-Q4,69.25928
Q,1969-Q1,70.29493000000001
Q,1969-Q2,71.62186
Q,1969-Q3,71.03931
Q,1969-Q4,70.78039
Q,1970-Q1,71.00694
Q,1970-Q2,71.20113
Q,1970-Q3,71.33058
Q,1970-Q4,71.65422
Q,1971-Q1,70.97457
Q,1971-Q2,71.10403000000001
Q,1971-Q3,70.87748
Q,1971-Q4,70.71566
Q,1972-Q1,67.38216
Q,1972-Q2,72.46333
Q,1972-Q3,73.17534
Q,1972-Q4,75.69974
Q,1973-Q1,78.38596
Q,1973-Q2,78.54778
Q,1973-Q3,79.00089
Q,1973-Q4,78.7096
Q,1974-Q1,73.14296999999999
Q,1974-Q2,79.48634
Q,1974-Q3,79.35689
Q,1974-Q4,76.41175
Q,1975-Q1,75.34373000000001
Q,1975-Q2,72.3986
Q,1975-Q3,71.26585
Q,1975-Q4,72.65751
Q,1976-Q1,73.56371
Q,1976-Q2,74.923
Q,1976-Q3,74.85826999999999
Q,1976-Q4,77.90051
Q,1977-Q1,79.74526
Q,1977-Q2,79.2598
Q,1977-Q3,78.77434000000001
Q,1977-Q4,79.00089
Q,1978-Q1,79.35689
Q,1978-Q2,81.71947
Q,1978-Q3,82.43148000000001
Q,1978-Q4,82.2373
Q,1979-Q1,82.52857
Q,1979-Q2,86.47700999999999
Q,1979-Q3,84.69698000000001
Q,1979-Q4,84.66461
Q,1980-Q1,83.33768
Q,1980-Q2,80.13363000000001
Q,1980-Q3,77.22086
Q,1980-Q4,75.47319
Q,1981-Q1,75.47319
Q,1981-Q2,75.86156
Q,1981-Q3,76.99431
Q,1981-Q4,77.90051
Q,1982-Q1,77.18849
Q,1982-Q2,78.54778
Q,1982-Q3,78.54778
Q,1982-Q4,77.80341
Q,1983-Q1,79.48634
Q,1983-Q2,80.26308
Q,1983-Q3,81.26637
Q,1983-Q4,82.39912
Q,1984-Q1,83.01404000000001
Q,1984-Q2,80.36018
Q,1984-Q3,79.58344
Q,1984-Q4,80.61909
Q,1985-Q1,83.4995
Q,1985-Q2,86.76828
Q,1985-Q3,85.89445
Q,1985-Q4,85.31189
Q,1986-Q1,85.89445
Q,1986-Q2,87.18901
Q,1986-Q3,87.51266
Q,1986-Q4,89.0985
Q,1987-Q1,89.32504
Q,1987-Q2,90.19888
Q,1987-Q3,91.75236
Q,1987-Q4,92.59383000000001
Q,1988-Q1,93.69421
Q,1988-Q2,94.40621999999999
Q,1988-Q3,96.47752
Q,1988-Q4,96.83353000000001
Q,1989-Q1,96.96298
Q,1989-Q2,96.93061999999999
Q,1989-Q3,97.51318
Q,1989-Q4,97.80445
Q,1990-Q1,97.02771
Q,1990-Q2,98.45174
Q,1990-Q3,96.80116
Q,1990-Q4,95.89497
Q,1991-Q1,94.76222
Q,1991-Q2,93.66184
Q,1991-Q3,92.85274
Q,1991-Q4,93.85603
Q,1992-Q1,93.85603
Q,1992-Q2,93.40293
Q,1992-Q3,94.37386
Q,1992-Q4,94.85931
Q,1993-Q1,95.11823000000001
Q,1993-Q2,95.40951
Q,1993-Q3,96.44516
Q,1993-Q4,97.675
Q,1994-Q1,99.06666
Q,1994-Q2,101.1703
Q,1994-Q3,101.9471
Q,1994-Q4,103.2093
Q,1995-Q1,102.1736
Q,1995-Q2,103.0474
Q,1995-Q3,103.4358
Q,1995-Q4,103.8889
Q,1996-Q1,104.5362
Q,1996-Q2,103.8889
Q,1996-Q3,104.34200000000001
Q,1996-Q4,105.41
Q,1997-Q1,106.0688
Q,1997-Q2,105.4619
Q,1997-Q3,105.9676
Q,1997-Q4,106.4397
Q,1998-Q1,107.3163
Q,1998-Q2,107.0802
Q,1998-Q3,106.5408
Q,1998-Q4,106.3722
Q,1999-Q1,106.3722
Q,1999-Q2,106.7768
Q,1999-Q3,109.0357
Q,1999-Q4,109.6763
Q,2000-Q1,109.6763
Q,2000-Q2,109.8112
Q,2000-Q3,109.5752
Q,2000-Q4,110.1483
Q,2001-Q1,109.6089
Q,2001-Q2,108.294
Q,2001-Q3,108.0917
Q,2001-Q4,106.6082
Q,2002-Q1,107.1477
Q,2002-Q2,106.4059
Q,2002-Q3,106.5745
Q,2002-Q4,106.0014
Q,2003-Q1,105.7316
Q,2003-Q2,105.32700000000001
Q,2003-Q3,106.3385
Q,2003-Q4,107.0465
Q,2004-Q1,107.4174
Q,2004-Q2,107.7546
Q,2004-Q3,106.0351
Q,2004-Q4,107.0802
Q,2005-Q1,106.3385
Q,2005-Q2,107.2488
Q,2005-Q3,106.1025
Q,2005-Q4,106.5408
Q,2006-Q1,107.7208
Q,2006-Q2,107.5185
Q,2006-Q3,107.7208
Q,2006-Q4,107.7883
Q,2007-Q1,108.3277
Q,2007-Q2,108.53
Q,2007-Q3,108.1929
Q,2007-Q4,108.53
Q,2008-Q1,108.294
Q,2008-Q2,107.1477
Q,2008-Q3,105.9676
Q,2008-Q4,101.416
Q,2009-Q1,97.13419
Q,2009-Q2,97.63991999999999
Q,2009-Q3,97.33648000000001
Q,2009-Q4,98.21308
Q,2010-Q1,99.89886
Q,2010-Q2,100.8092
Q,2010-Q3,100.8766
Q,2010-Q4,102.0904
Q,2011-Q1,101.8881
Q,2011-Q2,100.944
Q,2011-Q3,100.5732
Q,2011-Q4,100.1349
Q,2012-Q1,99.62913
Q,2012-Q2,98.6851
Q,2012-Q3,98.81996
Q,2012-Q4,96.96561
Q,2013-Q1,96.83075
Q,2013-Q2,97.13419
Q,2013-Q3,97.77478
Q,2013-Q4,98.2468
Q,2014-Q1,98.65138
Q,2014-Q2,98.85368000000001
Q,2014-Q3,99.22455
Q,2014-Q4,99.32569000000001
Q,2015-Q1,99.83142
Q,2015-Q2,100.5394
Q,2015-Q3,100.0337
Q,2015-Q4,99.62913
Q,2016-Q1,99.93257
Q,2016-Q2,101.9218
Q,2016-Q3,101.0452
Q,2016-Q4,101.7869
Q,2017-Q1,102.4275
Q,2017-Q2,102.0904
Q,2017-Q3,103.0344
Q,2017-Q4,104.1133
Q,2018-Q1,103.9784
Q,2018-Q2,103.5401
Q,2018-Q3,104.1133
Q,2018-Q4,103.2367
Q,2019-Q1,104.1133
Q,2019-Q2,102.2926
Q,2019-Q3,101.8881
Q,2019-Q4,101.3823
Q,2020-Q1,99.89886
Q,2020-Q2,83.00742
M,1956-01,49.21284
M,1956-02,49.21284
M,1956-03,48.74857
M,1956-04,49.21284
M,1956-05,48.284290000000006
M,1956-06,49.21284
M,1956-07,48.74857
M,1956-08,48.284290000000006
M,1956-09,49.21284
M,1956-10,48.74857
M,1956-11,49.21284
M,1956-12,48.74857
M,1957-01,49.21284
M,1957-02,50.14138
M,1957-03,49.21284
M,1957-04,49.21284
M,1957-05,50.14138
M,1957-06,50.60566
M,1957-07,50.60566
M,1957-08,50.60566
M,1957-09,50.60566
M,1957-10,49.67711
M,1957-11,50.60566
M,1957-12,49.21284
M,1958-01,49.67711
M,1958-02,50.67065
M,1958-03,51.16742
M,1958-04,49.18034
M,1958-05,49.67711
M,1958-06,49.67711
M,1958-07,49.18034
M,1958-08,49.18034
M,1958-09,49.18034
M,1958-10,49.18034
M,1958-11,49.67711
M,1958-12,50.17388
M,1959-01,50.17388
M,1959-02,50.17388
M,1959-03,49.67711
M,1959-04,51.6642
M,1959-05,51.6642
M,1959-06,51.6642
M,1959-07,52.160959999999996
M,1959-08,52.160959999999996
M,1959-09,53.154509999999995
M,1959-10,54.14805
M,1959-11,54.644819999999996
M,1959-12,55.14159
M,1960-01,55.63836
M,1960-02,55.63836
M,1960-03,56.13514
M,1960-04,55.63836
M,1960-05,56.13514
M,1960-06,55.63836
M,1960-07,55.63836
M,1960-08,56.13514
M,1960-09,56.13514
M,1960-10,56.6319
M,1960-11,56.13514
M,1960-12,56.13514
M,1961-01,56.13514
M,1961-02,56.13514
M,1961-03,56.13514
M,1961-04,56.6319
M,1961-05,55.63836
M,1961-06,56.6319
M,1961-07,57.12868
M,1961-08,56.13514
M,1961-09,55.63836
M,1961-10,56.13514
M,1961-11,55.63836
M,1961-12,56.13514
M,1962-01,55.63836
M,1962-02,56.13514
M,1962-03,56.6319
M,1962-04,56.6319
M,1962-05,57.12868
M,1962-06,57.12868
M,1962-07,57.12868
M,1962-08,57.12868
M,1962-09,57.62545
M,1962-10,56.6319
M,1962-11,56.6319
M,1962-12,56.6319
M,1963-01,55.63836
M,1963-02,56.6319
M,1963-03,57.62545
M,1963-04,57.12868
M,1963-05,58.12222
M,1963-06,59.115759999999995
M,1963-07,59.61253000000001
M,1963-08,60.1093
M,1963-09,60.1093
M,1963-10,60.606080000000006
M,1963-11,61.599619999999994
M,1963-12,61.599619999999994
M,1964-01,62.09639
M,1964-02,62.59316
M,1964-03,62.59316
M,1964-04,62.59316
M,1964-05,62.59316
M,1964-06,63.08993
M,1964-07,62.59316
M,1964-08,63.5867
M,1964-09,63.08993
M,1964-10,63.5867
M,1964-11,64.08346999999999
M,1964-12,65.07701
M,1965-01,66.07056
M,1965-02,65.07701
M,1965-03,64.08346999999999
M,1965-04,64.58025
M,1965-05,65.07701
M,1965-06,64.58025
M,1965-07,65.07701
M,1965-08,64.58025
M,1965-09,64.58025
M,1965-10,65.57378
M,1965-11,65.57378
M,1965-12,66.07056
M,1966-01,66.56733
M,1966-02,66.07056
M,1966-03,67.56087
M,1966-04,66.56733
M,1966-05,65.57378
M,1966-06,65.57378
M,1966-07,66.56733
M,1966-08,66.07056
M,1966-09,65.57378
M,1966-10,64.58025
M,1966-11,64.08346999999999
M,1966-12,65.07701
M,1967-01,65.07701
M,1967-02,65.07701
M,1967-03,65.07701
M,1967-04,65.57378
M,1967-05,64.58025
M,1967-06,65.07701
M,1967-07,65.07701
M,1967-08,65.07701
M,1967-09,65.07701
M,1967-10,65.57378
M,1967-11,66.07056
M,1967-12,67.56087
M,1968-01,66.89669
M,1968-02,67.67343000000001
M,1968-03,68.25599
M,1968-04,67.96471
M,1968-05,68.64435999999999
M,1968-06,68.74145
M,1968-07,68.74145
M,1968-08,69.32401
M,1968-09,69.12982
M,1968-10,68.64435999999999
M,1968-11,69.22691
M,1968-12,69.90656
M,1969-01,70.10075
M,1969-02,70.39202
M,1969-03,70.39202
M,1969-04,71.46004
M,1969-05,71.46004
M,1969-06,71.9455
M,1969-07,71.65422
M,1969-08,70.6833
M,1969-09,70.78039
M,1969-10,69.61528
M,1969-11,71.07167
M,1969-12,71.65422
M,1970-01,69.90656
M,1970-02,71.16875999999999
M,1970-03,71.9455
M,1970-04,71.65422
M,1970-05,70.87748
M,1970-06,71.07167
M,1970-07,71.36295
M,1970-08,71.46004
M,1970-09,71.16875999999999
M,1970-10,72.13969
M,1970-11,71.07167
M,1970-12,71.75131
M,1971-01,72.13969
M,1971-02,70.78039
M,1971-03,70.00365
M,1971-04,70.97457
M,1971-05,71.26585
M,1971-06,71.07167
M,1971-07,70.78039
M,1971-08,71.26585
M,1971-09,70.5862
M,1971-10,70.6833
M,1971-11,70.48911
M,1971-12,70.97457
M,1972-01,68.93563
M,1972-02,63.498459999999994
M,1972-03,69.71236999999999
M,1972-04,71.36295
M,1972-05,72.81933000000001
M,1972-06,73.2077
M,1972-07,72.33386999999999
M,1972-08,73.01352
M,1972-09,74.17863
M,1972-10,75.05246
M,1972-11,75.7321
M,1972-12,76.31466
M,1973-01,78.54778
M,1973-02,77.86814
M,1973-03,78.74197
M,1973-04,78.06232
M,1973-05,78.06232
M,1973-06,79.51871
M,1973-07,79.13034
M,1973-08,79.13034
M,1973-09,78.74197
M,1973-10,79.51871
M,1973-11,78.64487
M,1973-12,77.96523
M,1974-01,72.23678000000001
M,1974-02,72.33386999999999
M,1974-03,74.85826999999999
M,1974-04,78.74197
M,1974-05,79.7129
M,1974-06,80.00417
M,1974-07,79.7129
M,1974-08,79.90708000000001
M,1974-09,78.45069000000001
M,1974-10,76.89721999999999
M,1974-11,76.80011999999999
